"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"1",599000,36.01,"blok mieszkalny","Sołtysowice",460,2,"bardzo dobry"
"2",736274,42.72,"blok mieszkalny","Kleczków",515,2,"do wykończenia"
"3",624908,52.08,"blok mieszkalny","Huby",515,2,"bardzo dobry"
"4",1024259,91.34,"blok mieszkalny","Klecina",400,5,"do wykończenia"
"5",607000,60.16,"blok mieszkalny","Lipa Piotrowska",650,3,"do wykończenia"
"6",899000,49.78,"apartamentowiec","Ołbin",650,3,"bardzo dobry"
"7",849000,80,"blok mieszkalny","Różanka",800,4,"bardzo dobry"
"8",869000,72.93,"blok mieszkalny","Sołtysowice",700,4,"do wykończenia"
"9",875000,51.82,"blok mieszkalny","Grabiszyn",600,3,"bardzo dobry"
"10",849000,63.17,"blok mieszkalny","Księże",697,3,"bardzo dobry"
"11",1351350,100.1,"apartamentowiec","Ołbin",750,3,"do wykończenia"
"12",705000,59,"blok mieszkalny","Ołbin",770,4,"do odświeżenia"
"13",679000,50,"apartamentowiec","Stare Miasto",760,2,"bardzo dobry"
"14",1385000,81.08,"blok mieszkalny","Kleczków",820,4,"do wykończenia"
"15",575595,47.7,"blok mieszkalny","Księże",450,2,"do wykończenia"
"16",489900,32.5,"apartamentowiec","Gądów",530,1,"-"
"17",3510000,117,"apartamentowiec","Stare Miasto",1600,5,"wysoki standard"
"18",749000,73.94,"kamienica","Karłowice",630,3,"do remontu"
"19",1099000,93.49,"apartamentowiec","Ołtaszyn",900,4,"bardzo dobry"
"20",1182000,69.5,"apartamentowiec","Krzyki",900,3,"nowe wykończone"
"21",905000,63.85,"apartamentowiec","Grabiszyn",750,2,"bardzo dobry"
"22",4e+05,36,"blok mieszkalny","Ołbin",251,2,"do remontu"
"23",799000,82.5,"blok mieszkalny","Nowy Dwór",860,3,"do remontu"
"24",580000,44.2,"blok mieszkalny","Psie Pole",600,3,"wysoki standard"
"25",649000,39.11,"apartamentowiec","Ołtaszyn",580,1,"wysoki standard"
"26",1072398,79.28,"blok mieszkalny","Klecina",400,4,"do wykończenia"
"27",937945,86.05,"blok mieszkalny","Księże",800,3,"do wykończenia"
"28",879000,66.78,"blok mieszkalny","Muchobór Wielki",450,3,"bardzo dobry"
"29",679000,42,"apartamentowiec","Wojszyce",412,2,"bardzo dobry"
"30",1399000,87.73,"apartamentowiec","Biskupin",800,4,"do wykończenia"
"31",1300000,70,"blok mieszkalny","Tarnogaj",790,3,"bardzo dobry"
"32",616040,46,"blok mieszkalny","Krzyki",460,2,"do wykończenia"
"33",670000,44,"blok mieszkalny","Żerniki",700,2,"wysoki standard"
"34",899000,95.29,"kamienica","Powstańców Śląskich",800,4,"dobry"
"35",393750,26.25,"blok mieszkalny","Muchobór Mały",300,1,"do wykończenia"
"36",999000,160,"dom wolnostojący","Krzyki",300,4,"bardzo dobry"
"37",749000,63.95,"blok mieszkalny","Szczepin",1200,4,"nowe wykończone"
"38",711000,55.32,"blok mieszkalny","Poświętne",500,3,"do wykończenia"
"39",791000,65.8,"apartamentowiec","Jagodno",700,3,"wysoki standard"
"40",669000,56,"blok mieszkalny","Krzyki",760,3,"dobry"
"41",932184,72.54,"apartamentowiec","Krzyki",720,4,"do wykończenia"
"42",673318,58.17,"blok mieszkalny","Ołtaszyn",670,3,"do wykończenia"
"43",935000,64,"apartamentowiec","Tarnogaj",750,3,"wysoki standard"
"44",950000,72,"apartamentowiec","Krzyki",600,3,"wysoki standard"
"45",1606900,81.46,"blok mieszkalny","Kleczków",800,4,"do wykończenia"
"46",1058015,98.88,"apartamentowiec","Księże",980,4,"do wykończenia"
"47",649000,54.76,"blok mieszkalny","Muchobór Wielki",850,2,"bardzo dobry"
"48",548178,42.2,"blok mieszkalny","Lipa Piotrowska",400,2,"do wykończenia"
"49",1238875,91.32,"blok mieszkalny","Partynice",990,5,"do wykończenia"
"50",815000,60,"apartamentowiec","Grabiszyn",650,3,"bardzo dobry"
"51",791650,60.44,"blok mieszkalny","Poświętne",550,3,"do wykończenia"
"52",1095000,41.4,"apartamentowiec","Stare Miasto",690,2,"wysoki standard"
"53",706634,39.43,"blok mieszkalny","Kleczków",450,1,"do wykończenia"
"54",789000,79.2,"blok mieszkalny","Karłowice",1050,3,"do odświeżenia"
"55",653000,45.3,"apartamentowiec","Kleczków",450,2,"do wykończenia"
"56",880000,65,"apartamentowiec","Stare Miasto",700,2,"bardzo dobry"
"57",1399000,100.18,"kamienica","Nadodrze",300,3,"bardzo dobry"
"58",525000,40,"blok mieszkalny","Krzyki",420,2,"bardzo dobry"
"59",643050,42.87,"blok mieszkalny","Grabiszyn",13,2,"do wykończenia"
"60",701425,53.31,"blok mieszkalny","Klecina",600,2,"do wykończenia"
"61",1350000,55,"apartamentowiec","Przedmieście Oławskie",600,2,"bardzo dobry"
"62",520293,46.6,"blok mieszkalny","Księże",550,2,"do wykończenia"
"63",644000,64.45,"kamienica","Grabiszyn",340,3,"bardzo dobry"
"64",669000,63,"blok mieszkalny","Pawłowice",335,3,"do odświeżenia"
"65",680000,76.32,"blok mieszkalny","Borek",600,2,"do odświeżenia"
"66",779000,69,"blok mieszkalny","Gądów",1000,3,"wysoki standard"
"67",8e+05,61,"kamienica","Nadodrze",400,3,"do remontu"
"68",779000,46.7,"blok mieszkalny","Krzyki",600,2,"bardzo dobry"
"69",499000,31,"kamienica","Nowy Dwór",170,2,"wysoki standard"
"70",1047228,53.43,"apartamentowiec","Stare Miasto",500,3,"do wykończenia"
"71",569000,36.15,"apartamentowiec","Krzyki",500,2,"bardzo dobry"
"72",625000,57.1,"blok mieszkalny","Psie Pole",900,3,"nowe wykończone"
"73",1490000,58.57,"apartamentowiec","Stare Miasto",760,3,"do wykończenia"
"74",805600,55.8,"blok mieszkalny","Krzyki",660,3,"do wykończenia"
"75",591441,33.69,"blok mieszkalny","Kleczków",400,1,"do wykończenia"
"76",1385257,81.1,"blok mieszkalny","Kleczków",900,4,"do wykończenia"
"77",783300,74.6,"kamienica","Plac Grunwaldzki",800,2,"bardzo dobry"
"78",609000,52.9,"blok mieszkalny","Gajowice",500,3,"bardzo dobry"
"79",640000,57.4,"blok mieszkalny","Gaj",950,3,"wysoki standard"
"80",509000,40.8,"blok mieszkalny","Brochów",600,2,"dobry"
"81",489000,58,"kamienica","Ołbin",240,2,"do remontu"
"82",624900,47.9,"blok mieszkalny","Poświętne",450,2,"do wykończenia"
"83",1110000,45.3,"blok mieszkalny","Przedmieście Oławskie",600,2,"wysoki standard"
"84",790505,52.67,"blok mieszkalny","Klecina",400,3,"do wykończenia"
"85",480000,34.84,"blok mieszkalny","Stare Miasto",450,1,"dobry"
