"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"1",692000,54.04,"blok mieszkalny","Poświętne",350,2,"bardzo dobry"
"2",1020000,68.72,"blok mieszkalny","Księże",892,4,"wysoki standard"
"3",706676,48.02,"blok mieszkalny","Polanowice",432,2,"do wykończenia"
"4",655000,68.69,"blok mieszkalny","Maślice",550,3,"do wykończenia"
"5",649000,39.11,"apartamentowiec","Ołtaszyn",580,1,"wysoki standard"
"6",1338000,81.92,"blok mieszkalny","Kleczków",820,4,"do wykończenia"
"7",710000,63,"blok mieszkalny","Psie Pole",600,3,"wysoki standard"
"8",491352,29.23,"apartamentowiec","Nadodrze",400,1,"do wykończenia"
"9",703000,70.43,"blok mieszkalny","Lipa Piotrowska",650,4,"do wykończenia"
"10",369000,29.83,"kamienica","Nadodrze",400,2,"dobry"
"11",612000,39.23,"apartamentowiec","Kleczków",711,2,"wysoki standard"
"12",937945,86.05,"apartamentowiec","Księże",850,3,"do wykończenia"
"13",791480,33.68,"apartamentowiec","Przedmieście Oławskie",640,1,"wysoki standard"
"14",511000,27.48,"apartamentowiec","Stare Miasto",350,1,"do wykończenia"
"15",1013790,68.16,"blok mieszkalny","Kleczków",680,4,"do wykończenia"
"16",771300,62.6,"blok mieszkalny","Księże",600,3,"do wykończenia"
"17",668600,51.27,"blok mieszkalny","Krzyki",600,3,"do wykończenia"
"18",699999,68.5,"kamienica","Stare Miasto",763,3,"bardzo dobry"
"19",791000,65.8,"apartamentowiec","Jagodno",700,3,"wysoki standard"
"20",924610,51.54,"blok mieszkalny","Kleczków",510,3,"do wykończenia"
"21",5e+05,41.1,"blok mieszkalny","Stare Miasto",600,2,"dobry"
"22",768750,49.57,"blok mieszkalny","Klecina",350,2,"do wykończenia"
"23",1187225,91.34,"blok mieszkalny","Krzyki",990,5,"do wykończenia"
"24",570000,63,"blok mieszkalny","Psie Pole",900,4,"do remontu"
"25",629000,45,"apartamentowiec","Swojczyce",700,2,"wysoki standard"
"26",899000,40.68,"apartamentowiec","Krzyki",700,1,"do wykończenia"
"27",899000,100,"kamienica","Powstańców Śląskich",850,4,"bardzo dobry"
"28",884561,50.91,"blok mieszkalny","Stare Miasto",650,2,"do wykończenia"
"29",390000,32.5,"blok mieszkalny","Brochów",270,2,"deweloperski"
"30",584900,40,"blok mieszkalny","Borek",450,2,"dobry"
"31",910000,89.51,"kamienica","Huby",500,3,"nowe wykończone"
"32",510000,42,"kamienica","Stare Miasto",400,2,"do remontu"
"33",716000,29,"apartamentowiec","Krzyki",600,1,"wysoki standard"
"34",899000,43.5,"apartamentowiec","Stare Miasto",500,2,"do wykończenia"
"35",1190000,81,"blok mieszkalny","Nadodrze",1000,5,"bardzo dobry"
"36",499000,38,"blok mieszkalny","Krzyki",360,2,"do remontu"
"37",799999,52.4,"apartamentowiec","Stare Miasto",1100,2,"bardzo dobry"
"38",465000,40.63,"kamienica","Bieńkowice",470,2,"bardzo dobry"
"39",490000,38,"blok mieszkalny","Krzyki",510,2,"do remontu"
"40",364296,28.24,"kamienica","Nadodrze",500,2,"dobry"
"41",875356,68.98,"blok mieszkalny","Krzyki",400,4,"deweloperski"
"42",985050,49.5,"apartamentowiec","Stare Miasto",600,2,"bardzo dobry"
"43",510000,46,"blok mieszkalny","Oporów",550,2,"dobry"
"44",833395,43.14,"blok mieszkalny","Stare Miasto",550,2,"bardzo dobry"
"45",629000,60,"blok mieszkalny","Krzyki",600,3,"do remontu"
"46",930000,61.31,"apartamentowiec","Przedmieście Oławskie",1100,2,"bardzo dobry"
"47",840000,46,"apartamentowiec","Szczepin",650,2,"wysoki standard"
"48",563000,44.15,"kamienica","Ołbin",370,2,"bardzo dobry"
"49",499000,31,"kamienica","Nowy Dwór",170,2,"wysoki standard"
"50",2749000,105,"apartamentowiec","Tarnogaj",1100,4,"wysoki standard"
