"","Price","Surface","Building_type","District","Rent","Number_of_rooms","Condition"
"1",849000,69.18,"blok mieszkalny","Ołtaszyn",628,3,"dobry"
"2",1058157,80.13,"blok mieszkalny","Polanowice",640,4,"do wykończenia"
"3",739000,54.1,"blok mieszkalny","Sołtysowice",580,3,"bardzo dobry"
"4",542800,45.91,"blok mieszkalny","Przedmieście Oławskie",635,3,"dobry"
"5",1299900,95.04,"blok mieszkalny","Krzyki",1020,4,"bardzo dobry"
"6",524000,39.55,"blok mieszkalny","Stare Miasto",390,2,"wysoki standard"
"7",1288000,111,"kamienica","Borek",2000,4,"dobry"
"8",750000,60.01,"apartamentowiec","Muchobór Wielki",550,2,"do odświeżenia"
"9",619000,48.3,"blok mieszkalny","Szczepin",500,3,"-"
"10",526500,39.1,"blok mieszkalny","Szczepin",550,2,"bardzo dobry"
"11",529000,46,"blok mieszkalny","Biskupin",600,2,"do remontu"
"12",735000,58.8,"blok mieszkalny","Pilczyce",1000,4,"wysoki standard"
"13",791000,65.8,"apartamentowiec","Jagodno",700,3,"wysoki standard"
"14",1196855,50.93,"apartamentowiec","Przedmieście Oławskie",500,2,"wysoki standard"
"15",960000,64.57,"blok mieszkalny","Żerniki",650,3,"wysoki standard"
"16",716000,28.64,"apartamentowiec","Przedmieście Oławskie",450,1,"wysoki standard"
"17",691530,26.7,"apartamentowiec","Przedmieście Oławskie",420,1,"wysoki standard"
"18",689999,51.6,"blok mieszkalny","Krzyki",350,3,"do wykończenia"
"19",729500,71,"kamienica","Przedmieście Oławskie",400,3,"do remontu"
"20",699000,54.1,"blok mieszkalny","Szczepin",574,3,"do odświeżenia"
"21",619000,47,"blok mieszkalny","Szczepin",690,2,"dobry"
"22",929000,137.7,"dom wolnostojący","Polanowice",1,6,"dobry"
"23",699900,43.82,"blok mieszkalny","Ołtaszyn",486,2,"wysoki standard"
"24",610000,38,"apartamentowiec","Jagodno",650,2,"bardzo dobry"
"25",799000,59.56,"blok mieszkalny","Lipa Piotrowska",760,3,"wysoki standard"
"26",999000,108.76,"kamienica","Plac Grunwaldzki",430,3,"do remontu"
"27",1079000,66.38,"blok mieszkalny","Krzyki",560,4,"wysoki standard"
"28",557000,35,"blok mieszkalny","Krzyki",550,2,"wysoki standard"
"29",756130,45.55,"apartamentowiec","Przedmieście Oławskie",450,1,"do wykończenia"
"30",520000,42.81,"blok mieszkalny","Krzyki",600,2,"dobry"
"31",649999,42.17,"apartamentowiec","Przedmieście Oławskie",850,2,"wysoki standard"
"32",746000,61.9,"blok mieszkalny","Gaj",700,3,"bardzo dobry"
"33",499000,39,"blok mieszkalny","Jagodno",500,2,"do remontu"
"34",1200000,91.21,"blok mieszkalny","Lipa Piotrowska",900,4,"dobry"
"35",639000,71.12,"blok mieszkalny","Kozanów",980,4,"do odświeżenia"
"36",550000,46,"apartamentowiec","Jagodno",400,2,"do wykończenia"
"37",550000,47,"blok mieszkalny","Powstańców Śląskich",718,3,"dobry"
"38",590000,36,"blok mieszkalny","Muchobór Wielki",500,2,"wysoki standard"
"39",689000,59.78,"blok mieszkalny","Lipa Piotrowska",610,2,"dobry"
